unitid,unitname,timeperiod,mealname,fcst_custcount,served_custcount,sold_custcount,srvcrsname,itemname,fcst_prtnsize,served_prtnsize,sold_prtnsize,itemuofm1_intid,fcst_prtncount,itemuofm2_intid,served_prtncount,itemuofm3_intid,sold_prtncount,fcst_price,served_price,sold_price,eventdate,item_intid,eventlist_intid,itemxa_intid,itemevent_intid,itemgroup,groupseq,source,sortorder1,servicecourse_intid,day_fcstcount,total_fcstcount,day_servedcount,total_servedcount,day_soldcount,total_soldcount,serving_utensil,serving_pan,codesort,tempcoursecount,srvcoursecount,courseselect,F44
165,MARKETPLACE DINING - S,200,LUNCH     ,873,873,873,8TH AVE DELI BREAD,OL*Wheat Sub Roll ,Half Loaf,Half Loaf,Half Loaf,52793,188,52793,188,52793,188,0.18,0.18,0.18,7/29/2012 0:00,9568,11440312,22829,151165,,,,9000,66,1912,873,1912,873,1912,873,,,1,32,70,"SOUPS                    ,ENTREES                  ,STARCHES                 , VEGETABLES               ,SALADS                   ,FRUITS                   ,BREADS                   ,DESSERTS                 ,BEVERAGES                ,BREAKFAST PASTRY,STI",
165,MARKETPLACE DINING - S,200,LUNCH     ,873,873,873,8TH AVE DELI BREAD,OL*White Sub Roll,Half Loaf,Half Loaf,Half Loaf,52794,96,52794,96,52794,96,0.21,0.21,0.21,7/29/2012 0:00,9567,11440321,22828,151165,,,,10000,66,1912,873,1912,873,1912,873,,,1,32,70,"SOUPS                    ,ENTREES                  ,STARCHES                 , VEGETABLES               ,SALADS                   ,FRUITS                   ,BREADS                   ,DESSERTS                 ,BEVERAGES                ,BREAKFAST PASTRY,STI",
165,MARKETPLACE DINING - S,200,LUNCH     ,873,873,873,GLUTEN FREE,Cheese Quesadilla   (OL) (GF),Quesadilla,Quesadilla,Quesadilla,67435,28,67435,28,67435,28,0.2,0.2,0.2,7/29/2012 0:00,13893,11440289,33158,151165,,,,11000,73,1912,873,1912,873,1912,873,SPATULA,,1,32,70,"SOUPS                    ,ENTREES                  ,STARCHES                 , VEGETABLES               ,SALADS                   ,FRUITS                   ,BREADS                   ,DESSERTS                 ,BEVERAGES                ,BREAKFAST PASTRY,STI",
165,MARKETPLACE DINING - S,200,LUNCH     ,873,873,873,GLUTEN FREE,Monterey Chicken in a Corn Tortilla (GF),Sandwich,Sandwich,Sandwich,67438,15,67438,15,67438,15,0.89,0.89,0.89,7/29/2012 0:00,13894,11440324,33161,151165,,,,12000,73,1912,873,1912,873,1912,873,,,1,32,70,"SOUPS                    ,ENTREES                  ,STARCHES                 , VEGETABLES               ,SALADS                   ,FRUITS                   ,BREADS                   ,DESSERTS                 ,BEVERAGES                ,BREAKFAST PASTRY,STI",
165,MARKETPLACE DINING - S,200,LUNCH     ,873,873,873,GLUTEN FREE,V*PEAS AND CARROTS,3 OZ,3 OZ,3 OZ,5372,24,5372,24,5372,24,0.19,0.19,0.19,7/29/2012 0:00,3600,11440292,3600,151165,,,,13000,73,1912,873,1912,873,1912,873,PERFORATED SPOON         ,,1,32,70,"SOUPS                    ,ENTREES                  ,STARCHES                 , VEGETABLES               ,SALADS                   ,FRUITS                   ,BREADS                   ,DESSERTS                 ,BEVERAGES                ,BREAKFAST PASTRY,STI",
165,MARKETPLACE DINING - S,200,LUNCH     ,873,873,873,GLUTEN FREE,V*Gingered Carrot Soup ,4 Oz Portion,4 Oz Portion,4 Oz Portion,61459,32,61459,32,61459,32,0.12,0.12,0.12,7/29/2012 0:00,12370,11440309,29958,151165,,,,14000,73,1912,873,1912,873,1912,873,,,1,32,70,"SOUPS                    ,ENTREES                  ,STARCHES                 , VEGETABLES               ,SALADS                   ,FRUITS                   ,BREADS                   ,DESSERTS                 ,BEVERAGES                ,BREAKFAST PASTRY,STI",
165,MARKETPLACE DINING - S,200,LUNCH     ,873,873,873,GLUTEN FREE,Oven Fried Lattice Cut (GF),4 Oz Potion,4 Oz Potion,4 Oz Potion,67388,12,67388,12,67388,12,0.25,0.25,0.25,7/29/2012 0:00,13883,11440281,33121,151165,,,,15000,73,1912,873,1912,873,1912,873,,,1,32,70,"SOUPS                    ,ENTREES                  ,STARCHES                 , VEGETABLES               ,SALADS                   ,FRUITS                   ,BREADS                   ,DESSERTS                 ,BEVERAGES                ,BREAKFAST PASTRY,STI",
165,MARKETPLACE DINING - S,200,LUNCH     ,873,873,873,HONOR G GRILL,Monterey Chicken w/ Avocado Sandwich,Sandwich,Sandwich,Sandwich,53623,300,53623,300,53623,300,1.59,1.59,1.59,7/29/2012 0:00,10509,11440286,25275,151165,,,,16000,53,1912,873,1912,873,1912,873,,,1,32,70,"SOUPS                    ,ENTREES                  ,STARCHES                 , VEGETABLES               ,SALADS                   ,FRUITS                   ,BREADS                   ,DESSERTS                 ,BEVERAGES                ,BREAKFAST PASTRY,STI",
165,MARKETPLACE DINING - S,200,LUNCH     ,873,873,873,HONOR G GRILL,Char Grilled Hamburger,Sandwich,Sandwich,Sandwich,47478,134,47478,134,47478,134,0.71,0.71,0.71,7/29/2012 0:00,8957,11440293,22115,151165,,,,17000,53,1912,873,1912,873,1912,873,,,1,32,70,"SOUPS                    ,ENTREES                  ,STARCHES                 , VEGETABLES               ,SALADS                   ,FRUITS                   ,BREADS                   ,DESSERTS                 ,BEVERAGES                ,BREAKFAST PASTRY,STI",
165,MARKETPLACE DINING - S,200,LUNCH     ,873,873,873,HONOR G GRILL,LATTICE CUT FRIES,(4 Oz Portion),(4 Oz Portion),(4 Oz Portion),31850,440,31850,440,31850,440,0.25,0.25,0.25,7/29/2012 0:00,3144,11440315,3144,151165,,,,18000,53,1912,873,1912,873,1912,873,,,1,32,70,"SOUPS                    ,ENTREES                  ,STARCHES                 , VEGETABLES               ,SALADS                   ,FRUITS                   ,BREADS                   ,DESSERTS                 ,BEVERAGES                ,BREAKFAST PASTRY,STI",
165,MARKETPLACE DINING - S,200,LUNCH     ,873,873,873,PASTA BAR,V*Marinara Sauce,Gallon,Gallon,Gallon,60498,4,60498,4,60498,4,5.55,5.55,5.55,7/29/2012 0:00,12089,11440274,29575,151165,,,,19000,56,1912,873,1912,873,1912,873,,,1,32,70,"SOUPS                    ,ENTREES                  ,STARCHES                 , VEGETABLES               ,SALADS                   ,FRUITS                   ,BREADS                   ,DESSERTS                 ,BEVERAGES                ,BREAKFAST PASTRY,STI",
165,MARKETPLACE DINING - S,200,LUNCH     ,873,873,873,PASTA BAR,V*Pasta Fettuccine ,(4 Oz Portion),(4 Oz Portion),(4 Oz Portion),48166,450,48166,450,48166,450,0.1,0.1,0.1,7/29/2012 0:00,7337,11440298,19925,151165,,,,20000,56,1912,873,1912,873,1912,873,,,1,32,70,"SOUPS                    ,ENTREES                  ,STARCHES                 , VEGETABLES               ,SALADS                   ,FRUITS                   ,BREADS                   ,DESSERTS                 ,BEVERAGES                ,BREAKFAST PASTRY,STI",
165,MARKETPLACE DINING - S,200,LUNCH     ,873,873,873,PASTA BAR,Chicken Alfredo Sauce ,4 Oz Portion,4 Oz Portion,4 Oz Portion,49725,320,49725,320,49725,320,0.41,0.41,0.41,7/29/2012 0:00,9541,11440304,22791,151165,,,,21000,56,1912,873,1912,873,1912,873,,,1,32,70,"SOUPS                    ,ENTREES                  ,STARCHES                 , VEGETABLES               ,SALADS                   ,FRUITS                   ,BREADS                   ,DESSERTS                 ,BEVERAGES                ,BREAKFAST PASTRY,STI",
165,MARKETPLACE DINING - S,200,LUNCH     ,873,873,873,PLAT DU JOUR,OL*SCRAMBLED EGGS,2.66 Oz Portion,2.66 Oz Portion,2.66 Oz Portion,32631,360,32631,360,32631,360,0.17,0.17,0.17,7/29/2012 0:00,3627,11440290,3627,151165,,,,22000,54,1912,873,1912,873,1912,873,SOLID SPOON              ,,1,32,70,"SOUPS                    ,ENTREES                  ,STARCHES                 , VEGETABLES               ,SALADS                   ,FRUITS                   ,BREADS                   ,DESSERTS                 ,BEVERAGES                ,BREAKFAST PASTRY,STI",
165,MARKETPLACE DINING - S,200,LUNCH     ,873,873,873,PLAT DU JOUR,V*Sauteed Peppers & Onions ,3 Oz Portion,3 Oz Portion,3 Oz Portion,30801,96,30801,96,30801,96,0.51,0.51,0.51,7/29/2012 0:00,5549,11440323,17640,151165,,,,23000,54,1912,873,1912,873,1912,873,SLOTTED SPOON            ,,1,32,70,"SOUPS                    ,ENTREES                  ,STARCHES                 , VEGETABLES               ,SALADS                   ,FRUITS                   ,BREADS                   ,DESSERTS                 ,BEVERAGES                ,BREAKFAST PASTRY,STI",
165,MARKETPLACE DINING - S,200,LUNCH     ,873,873,873,PLAT DU JOUR,V*Hashbrowned Potatoes,(4 Oz Portion),(4 Oz Portion),(4 Oz Portion),42297,250,42297,250,42297,250,0.19,0.19,0.19,7/29/2012 0:00,4684,11440302,16101,151165,,,,24000,54,1912,873,1912,873,1912,873,,,1,32,70,"SOUPS                    ,ENTREES                  ,STARCHES                 , VEGETABLES               ,SALADS                   ,FRUITS                   ,BREADS                   ,DESSERTS                 ,BEVERAGES                ,BREAKFAST PASTRY,STI",
165,MARKETPLACE DINING - S,200,LUNCH     ,873,873,873,PLAT DU JOUR,GRILLED HAM STEAK,3 OZ SLICE,3 OZ SLICE,3 OZ SLICE,5249,195,5249,195,5249,195,0.51,0.51,0.51,7/29/2012 0:00,3479,11440317,3479,151165,,,,25000,54,1912,873,1912,873,1912,873,TONGS                    ,,1,32,70,"SOUPS                    ,ENTREES                  ,STARCHES                 , VEGETABLES               ,SALADS                   ,FRUITS                   ,BREADS                   ,DESSERTS                 ,BEVERAGES                ,BREAKFAST PASTRY,STI",
165,MARKETPLACE DINING - S,200,LUNCH     ,873,873,873,SOUPS                    ,Chicken Enchilada Baja Soup,4 OZ LADEL,4 OZ LADEL,4 OZ LADEL,53934,448,53934,448,53934,448,0.61,0.61,0.61,7/29/2012 0:00,10560,11440310,25396,151165,,,,26000,1,1912,873,1912,873,1912,873,4 OZ LADLE               ,,1,32,70,"SOUPS                    ,ENTREES                  ,STARCHES                 , VEGETABLES               ,SALADS                   ,FRUITS                   ,BREADS                   ,DESSERTS                 ,BEVERAGES                ,BREAKFAST PASTRY,STI",
165,MARKETPLACE DINING - S,200,LUNCH     ,873,873,873,SOUPS                    ,V*Gingered Carrot Soup ,4 Oz Portion,4 Oz Portion,4 Oz Portion,61459,320,61459,320,61459,320,0.12,0.12,0.12,7/29/2012 0:00,12370,11440316,29958,151165,,,,27000,1,1912,873,1912,873,1912,873,,,1,32,70,"SOUPS                    ,ENTREES                  ,STARCHES                 , VEGETABLES               ,SALADS                   ,FRUITS                   ,BREADS                   ,DESSERTS                 ,BEVERAGES                ,BREAKFAST PASTRY,STI",
165,MARKETPLACE DINING - S,200,LUNCH     ,873,873,873,VEGAN SPECIAL,V*Kappy Spencer Wild Rice Salad w/Nuts ,(4 Oz Portion),(4 Oz Portion),(4 Oz Portion),68892,66,68892,66,68892,66,0.73,0.73,0.73,7/29/2012 0:00,14235,11440303,34021,151165,,,,28000,60,1912,873,1912,873,1912,873,,,1,32,70,"SOUPS                    ,ENTREES                  ,STARCHES                 , VEGETABLES               ,SALADS                   ,FRUITS                   ,BREADS                   ,DESSERTS                 ,BEVERAGES                ,BREAKFAST PASTRY,STI",
165,MARKETPLACE DINING - S,200,LUNCH     ,873,873,873,VEGAN SPECIAL,V*Hominy & White Bean Burger,Bean Burger,Bean Burger,Bean Burger,64335,84,64335,84,64335,84,0.28,0.28,0.28,7/29/2012 0:00,13100,11440278,31616,151165,,,,29000,60,1912,873,1912,873,1912,873,,,1,32,70,"SOUPS                    ,ENTREES                  ,STARCHES                 , VEGETABLES               ,SALADS                   ,FRUITS                   ,BREADS                   ,DESSERTS                 ,BEVERAGES                ,BREAKFAST PASTRY,STI",
165,MARKETPLACE DINING - S,200,LUNCH     ,873,873,873,VEGAN SPECIAL,V*BASMATI RICE,(3 Oz Portion),(3 Oz Portion),(3 Oz Portion),8041,100,8041,100,8041,100,0.12,0.12,0.12,7/29/2012 0:00,4145,11440297,4145,151165,,,,30000,60,1912,873,1912,873,1912,873,,,1,32,70,"SOUPS                    ,ENTREES                  ,STARCHES                 , VEGETABLES               ,SALADS                   ,FRUITS                   ,BREADS                   ,DESSERTS                 ,BEVERAGES                ,BREAKFAST PASTRY,STI",
165,MARKETPLACE DINING - S,200,LUNCH     ,873,873,873,VEGAN SPECIAL,V*PEAS AND CARROTS,3 OZ,3 OZ,3 OZ,5372,60,5372,60,5372,60,0.19,0.19,0.19,7/29/2012 0:00,3600,11440295,3600,151165,,,,31000,60,1912,873,1912,873,1912,873,PERFORATED SPOON         ,,1,32,70,"SOUPS                    ,ENTREES                  ,STARCHES                 , VEGETABLES               ,SALADS                   ,FRUITS                   ,BREADS                   ,DESSERTS                 ,BEVERAGES                ,BREAKFAST PASTRY,STI",
165,MARKETPLACE DINING - S,200,LUNCH     ,873,873,873,VEGAN SPECIAL,V*Gingered Carrot Soup ,4 Oz Portion,4 Oz Portion,4 Oz Portion,61459,32,61459,32,61459,32,0.12,0.12,0.12,7/29/2012 0:00,12370,11440308,29958,151165,,,,32000,60,1912,873,1912,873,1912,873,,,1,32,70,"SOUPS                    ,ENTREES                  ,STARCHES                 , VEGETABLES               ,SALADS                   ,FRUITS                   ,BREADS                   ,DESSERTS                 ,BEVERAGES                ,BREAKFAST PASTRY,STI",
165,MARKETPLACE DINING - S,200,LUNCH     ,873,873,873,DESSERTS                 ,V*Vanilla Cupcakes w/Vanilla Frosting,Cupcake,Cupcake,Cupcake,62356,440,62356,440,62356,440,0.17,0.17,0.17,7/29/2012 0:00,12589,11440320,30358,151165,,,,33000,8,1912,873,1912,873,1912,873,,,8,32,70,"SOUPS                    ,ENTREES                  ,STARCHES                 , VEGETABLES               ,SALADS                   ,FRUITS                   ,BREADS                   ,DESSERTS                 ,BEVERAGES                ,BREAKFAST PASTRY,STI",
165,MARKETPLACE DINING - S,200,LUNCH     ,873,873,873,DESSERTS                 ,Ol* Choc Chip Cookie Dough Bars,8 X10 Cut,8 X10 Cut,8 X10 Cut,32113,600,32113,600,32113,600,0.24,0.24,0.24,7/29/2012 0:00,4901,11440305,16348,151165,,,,34000,8,1912,873,1912,873,1912,873,"CAKE SERVER 2.5""         ",,8,32,70,"SOUPS                    ,ENTREES                  ,STARCHES                 , VEGETABLES               ,SALADS                   ,FRUITS                   ,BREADS                   ,DESSERTS                 ,BEVERAGES                ,BREAKFAST PASTRY,STI",
165,MARKETPLACE DINING - S,300,DINNER    ,1038,1038,1038,8TH AVE DELI BREAD,OL*Wheat Sub Roll ,Half Loaf,Half Loaf,Half Loaf,52793,0,52793,0,52793,0,0.18,0.18,0.18,7/29/2012 0:00,9568,11440546,22829,151172,,,,61000,66,1912,1038,1912,1038,1912,1038,,,1,32,70,"SOUPS                    ,ENTREES                  ,STARCHES                 , VEGETABLES               ,SALADS                   ,FRUITS                   ,BREADS                   ,DESSERTS                 ,BEVERAGES                ,BREAKFAST PASTRY,STI",
165,MARKETPLACE DINING - S,300,DINNER    ,1038,1038,1038,8TH AVE DELI BREAD,OL*White Sub Roll,Half Loaf,Half Loaf,Half Loaf,52794,0,52794,0,52794,0,0.21,0.21,0.21,7/29/2012 0:00,9567,11440559,22828,151172,,,,62000,66,1912,1038,1912,1038,1912,1038,,,1,32,70,"SOUPS                    ,ENTREES                  ,STARCHES                 , VEGETABLES               ,SALADS                   ,FRUITS                   ,BREADS                   ,DESSERTS                 ,BEVERAGES                ,BREAKFAST PASTRY,STI",
165,MARKETPLACE DINING - S,300,DINNER    ,1038,1038,1038,GLUTEN FREE,African Spiced Wild Rice w/Almonds (V),4 Oz Portion,4 Oz Portion,4 Oz Portion,68867,36,68867,36,68867,36,0.33,0.33,0.33,7/29/2012 0:00,14229,11445969,34000,151172,,,,63000,73,1912,1038,1912,1038,1912,1038,,,1,32,70,"SOUPS                    ,ENTREES                  ,STARCHES                 , VEGETABLES               ,SALADS                   ,FRUITS                   ,BREADS                   ,DESSERTS                 ,BEVERAGES                ,BREAKFAST PASTRY,STI",
165,MARKETPLACE DINING - S,300,DINNER    ,1038,1038,1038,GLUTEN FREE,V*California Blend Vegetables ,(3 Oz Portion),(3 Oz Portion),(3 Oz Portion),41084,12,41084,12,41084,12,0.24,0.24,0.24,7/29/2012 0:00,7511,11440540,20162,151172,,,,64000,73,1912,1038,1912,1038,1912,1038,,,1,32,70,"SOUPS                    ,ENTREES                  ,STARCHES                 , VEGETABLES               ,SALADS                   ,FRUITS                   ,BREADS                   ,DESSERTS                 ,BEVERAGES                ,BREAKFAST PASTRY,STI",
